Query,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
gallery tool,53,55,89,94,59.55%,58.51%,1,1
gallerytool,34,34,49,58,69.39%,58.62%,1,1
exhibition design software,7,10,50,53,14%,18.87%,1.92,2.11
instagram galleries,6,3,123,112,4.88%,2.68%,5.25,5.19
free art inventory software,5,1,38,44,13.16%,2.27%,8.53,9.16
jacques flechemuller,5,3,28,24,17.86%,12.5%,5.61,5.46
instagram art gallery,4,4,117,114,3.42%,3.51%,7.07,7.69
gallery tools,4,6,18,27,22.22%,22.22%,1.72,1.15
exhibit design software,4,1,16,12,25%,8.33%,2.12,6.25
art gallery instagram,3,3,94,80,3.19%,3.75%,7.46,7.65
instagram art exhibition,3,2,22,25,13.64%,8%,5.55,6.04
3d exhibition design software,3,1,17,17,17.65%,5.88%,2.12,2.35
art galleries instagram,3,0,17,7,17.65%,0%,4.35,4.29
art and tech,2,3,90,99,2.22%,3.03%,9.87,10.02
tokyo artist residency,2,3,23,19,8.7%,15.79%,7.52,7.26
art galleries on instagram,2,3,21,20,9.52%,15%,3.52,3.65
3d exhibition software,2,1,18,25,11.11%,4%,9.22,5.8
software for exhibition design,2,1,6,1,33.33%,100%,1.17,1
art gallery software,1,4,282,281,0.35%,1.42%,10.56,11.18
instagram gallery,1,1,230,341,0.43%,0.29%,13.24,12.47
art gallery plan,1,0,162,202,0.62%,0%,12.57,12.97
artist statement,1,0,105,2,0.95%,0%,30.7,96.5
art gallery management software,1,2,92,127,1.09%,1.57%,6.3,6.61
3d exhibition design,1,0,82,90,1.22%,0%,19.52,28.54
best galleries for emerging artists,1,2,67,59,1.49%,3.39%,8.21,9.39
top gallery,1,0,59,39,1.69%,0%,12.34,12.44
exhibition software,1,0,47,39,2.13%,0%,9.45,9.92
galleries for emerging artists,1,1,46,40,2.17%,2.5%,9.83,11.75
exhibition design plan,1,0,40,41,2.5%,0%,7.75,8.2
exhibition gallery plan,1,0,30,13,3.33%,0%,10.83,11.08
free art gallery software,1,2,28,40,3.57%,5%,7.29,8.1
art inventory,1,0,23,15,4.35%,0%,16.09,26.6
best art gallery instagram accounts,1,3,22,28,4.55%,10.71%,3.36,4.04
flechemuller,1,0,19,7,5.26%,0%,6.95,10.57
top galleries for emerging artists,1,0,19,13,5.26%,0%,7.89,9.31
museum exhibit design software,1,0,18,14,5.56%,0%,4.67,4.64
online art gallery software,1,0,18,19,5.56%,0%,9.83,10.21
galleries for new artists,1,0,18,8,5.56%,0%,9.94,12.88
art gallery layout plan,1,1,16,24,6.25%,4.17%,8.94,8.04
art inventory management software,1,0,13,24,7.69%,0%,10.85,10.75
instagram contemporary art,1,0,10,12,10%,0%,10.5,8.75
japan artist residency,1,0,9,7,11.11%,0%,23.89,24.43
art inventory app,1,0,9,7,11.11%,0%,29,32.57
exhibition planning software,1,0,8,9,12.5%,0%,1,1.11
art gallery planning,1,0,7,0,14.29%,0%,8,0
emerging artist galleries,1,0,5,4,20%,0%,11.2,11.25
how to write a artist biography,1,0,3,0,33.33%,0%,14,0
modern art instagram,1,0,3,5,33.33%,0%,15.33,16.2
galley tool,1,0,1,0,100%,0%,1,0
exhibition design,0,0,691,625,0%,0%,56.75,57.75
artwork management software,0,0,493,397,0%,0%,22.91,22.59
gifc,0,1,397,348,0%,0.29%,7.01,7.59
artwork management,0,0,296,244,0%,0%,65.67,67.65
online exhibition software,0,0,235,213,0%,0%,68.93,53.68
artist management software,0,0,217,176,0%,0%,36.11,37.48
exhibition plan,0,0,170,160,0%,0%,36.17,44.12
artwork management system,0,0,153,129,0%,0%,49.15,53.71
how to write an artist statement,0,0,122,90,0%,0%,41.66,81.62
art inventory software,0,0,104,139,0%,0%,26.89,28.18
art management software,0,0,95,114,0%,0%,10.27,11.85
instagram art,0,0,92,93,0%,0%,34.62,23.87
artwork software,0,0,90,115,0%,0%,29.22,29.65
art dealer instagram,0,0,87,25,0%,0%,9.28,9.76
how to plan an exhibition,0,0,85,90,0%,0%,43.11,45.03
gallery management software,0,1,76,71,0%,1.41%,6.16,6.25
the gallerist,0,0,75,13,0%,0%,84.67,82.54
artist inventory sheet,0,0,68,92,0%,0%,14.24,12
gallery software,0,0,68,67,0%,0%,15.75,22.25
exhibition space plan,0,1,63,82,0%,1.22%,9.48,9.16
digital artwork management,0,0,63,45,0%,0%,24.41,20.91
art gallery management,0,0,59,73,0%,0%,19.17,18.56
virtual art gallery,0,0,56,44,0%,0%,74.7,75.64
instagram world,0,0,55,11,0%,0%,39,63.45
planning an exhibition,0,0,55,62,0%,0%,47.64,47.98
tool artwork,0,0,51,63,0%,0%,59,45.79
artist management software free,0,0,49,60,0%,0%,61.61,58.78
art exhibition design,0,0,47,52,0%,0%,5.45,3.52
best art galleries,0,0,46,25,0%,0%,54,49.12
artwork intertwined,0,0,45,48,0%,0%,9.93,10.94
art collector contacts,0,0,45,4,0%,0%,90.16,83.75
exhibition software programs,0,0,44,34,0%,0%,16.45,16.65
free galleries,0,0,44,2,0%,0%,85.86,93.5
exhibition design sketch,0,0,42,6,0%,0%,37.67,53.83
top 5 instagram,0,0,42,22,0%,0%,55.93,49.27
best exhibition design,0,0,42,31,0%,0%,59.86,85.65
perfect artist,0,0,41,36,0%,0%,6.88,7.94
art gallery design,0,0,41,59,0%,0%,50.41,49.22
exhibition layout plan,0,0,39,39,0%,0%,10.54,10.62
london art calendar,0,0,39,8,0%,0%,73.62,82.12
london art fair calendar,0,0,36,38,0%,0%,13.81,18.5
cancel art galleries instagram,0,1,35,17,0%,5.88%,7.03,8.18
art follow,0,0,34,28,0%,0%,9.32,8.96
art collaborations,0,0,34,34,0%,0%,58.94,62.68
how to manage artists,0,0,34,48,0%,0%,80.06,79.77
art enthusiast instagram,0,0,32,3,0%,0%,8.75,6.67
exhibition layout design,0,1,32,20,0%,5%,9.47,12.15
art exhibition floor plan,0,0,32,23,0%,0%,10.06,10.83
free online art gallery for artists,0,0,32,27,0%,0%,60.66,77.41
artist management app,0,0,32,37,0%,0%,83.12,77.35
best art gallery software,0,0,31,41,0%,0%,12.48,15.39
tech in art,0,0,31,26,0%,0%,18.16,21
3d exhibition layout,0,1,30,30,0%,3.33%,4.17,4.53
art fair calendar,0,1,30,34,0%,2.94%,7.67,10.24
best free art gallery software,0,0,30,36,0%,0%,8.93,10.06
